time,nicv-value
1801,0.015090368634853541
1802,0.013730146315888501
1803,0.01316260656160924
1804,0.013112756264904175
1805,0.01354470014668913
1806,0.012467771411175724
1807,0.011787788101745762
1808,0.012236945671460326
1809,0.012578675724181799
1810,0.014269035596429615
1811,0.014383489148494728
1812,0.01457713448619651
1813,0.01565064676820629
1814,0.010853667205063398
1815,0.01078113684754103
1816,0.01202827242811594
1817,0.010246267057025202
1818,0.013159065030739624
1819,0.013310968132123785
1820,0.013123635994561482
1821,0.014233206460540666
1822,0.010685518250930264
1823,0.010509932236374198
1824,0.009943300417764641
1825,0.011241123474996884
1826,0.01245956385267431
1827,0.012809621269386768
1828,0.013040402975512259
1829,0.01193251349797232
1830,0.014334267993289329
1831,0.014211442977798163
1832,0.013938378996445509
1833,0.014611104361296166
1834,0.012329470898695164
1835,0.011625634715106768
1836,0.013089796018340984
1837,0.012564431502888222
1838,0.011510356015248803
1839,0.011758835273904686
1840,0.012154748713129068
1841,0.011870127506259884
1842,0.012418027374760375
1843,0.011946542125925606
1844,0.012514318483109466
1845,0.012330463998901402
1846,0.011513736943334423
1847,0.012044191968018892
1848,0.012438822182589638
1849,0.012695762937847719
1850,0.015000965973630723
1851,0.015315347901299292
1852,0.015247693097324402
1853,0.0143746242336786
1854,0.013553842813483484
1855,0.013012387163075765
1856,0.012057117135827328
1857,0.012097442235775064
1858,0.01413710477671543
1859,0.014467636460922677
1860,0.013759763400245763
1861,0.014220894570080345
1862,0.016045398345394257
1863,0.014608467670176322
1864,0.01515218662135766
1865,0.01359006356128563
1866,0.013792321730705982
1867,0.013424605485260544
1868,0.01388096181156656
1869,0.014319135935984856
1870,0.012886159479535765
1871,0.013148837518573677
1872,0.012918564703278313
1873,0.012214682529165079
1874,0.014824554903829164
1875,0.014890279144910618
1876,0.015403584802220743
1877,0.01628652935103573
1878,0.01425261449393651
1879,0.014242421568263615
1880,0.014648938345258494
1881,0.015176718433643183
1882,0.015452981569231323
1883,0.01516560203329963
1884,0.013862979883208653
1885,0.013973701839709071
1886,0.012512084557468836
1887,0.011929435622296487
1888,0.010239511986360417
1889,0.011856201051919717
1890,0.01365813873898955
1891,0.013544297269912442
1892,0.013799816144633084
1893,0.013883678343013649
1894,0.014830681535199765
1895,0.015265053445669804
1896,0.016153413339157062
1897,0.01385479401039954
1898,0.01415804860243568
1899,0.01374830630491201
1900,0.013582522139477471
1901,0.013266342052967929
1902,0.012495479042101599
1903,0.011810966394722372
1904,0.01296731657620207
1905,0.012632375122209232
1906,0.013202412945877292
1907,0.01244147582678478
1908,0.012898987835133609
1909,0.013944310270482726
1910,0.012509203404924093
1911,0.012190384103614614
1912,0.012554038257243681
1913,0.013028313132370524
1914,0.012836075444020012
1915,0.012510732792061384
1916,0.01236507671784833
1917,0.012264901538433468
1918,0.011676084049151042
1919,0.012248871246074676
1920,0.010733136141613397
1921,0.011890968483346573
1922,0.013692528935613086
1923,0.013797368844063964
1924,0.013303192019637861
1925,0.013875793315315348
1926,0.012585970475009324
1927,0.012584619137184687
1928,0.01261754041540459
1929,0.012733326520978892
1930,0.01284487973291336
1931,0.012885957469238955
1932,0.01289295370284564
1933,0.012592853750655298
1934,0.012517533937929792
1935,0.012178444162329072
1936,0.01218517620203264
1937,0.011886274224689623
1938,0.011764797524693857
1939,0.011327875905193708
1940,0.011353738381116302
1941,0.01141318806407889
1942,0.011948909883022732
1943,0.011053680576682753
1944,0.010884286974478671
1945,0.01313658830848716
1946,0.01587584977404021
1947,0.014415566626415051
1948,0.013100821268431992
1949,0.013797766182433816
1950,0.012307980005871367
1951,0.012488375240716122
